class_1,class_2,pval,rho,n
Calculus and Analytic Geometry I,Object Oriented Analysis and Design,9.77E-09,0.398177398,193
Software Engineering Project I,Software Engineering Project II,0.00000135,0.397852711,138
Data Communications and Computer Networks,General Psychology,0.00000191,0.396651276,135
Fitness Assessment and Management,Leadership and Management,1.88E-18,0.395112854,455
Calculus and Analytic Geometry III,Programming in C++,0.000000142,0.394714639,166
Introduction to Engineering Projects,Principles of Macroeconomics,0.000000191,0.394311588,163
Discrete Mathematics,Logic and Digital Design,0.00000121,0.394192703,142
Electrical Engineering Projects and Tools,Introduction to Engineering Projects,1.84E-08,0.394161268,190
Art Survey,College Writing II,0.00000206,0.394145538,136
Fitness Assessment and Management,Music Appreciation,8.44E-12,0.393407345,280
Financial Accounting,Programming in C++,0.000000255,0.392800914,161
Computer Architecture/Operating Systems,Software Quality,2.48E-08,0.392749639,188
Calculus and Analytic Geometry I,Principles of Macroeconomics,0.000000056,0.392300123,179
Calculus and Analytic Geometry III,General Physics I,0.000000159,0.391114783,168
College Writing II,Software Quality,0.00000023,0.389663376,165
Logic and Digital Design,Object Oriented Analysis and Design,0.00000168,0.389328551,142
Introduction to Engineering Projects,Introduction to Software Engineering,2.1E-09,0.389124167,221
College Writing I,Object-Oriented Programming and Data Structures II,5.31E-09,0.38827822,211
Calculus and Analytic Geometry II,Object Oriented Analysis and Design,0.00000019,0.386680006,170
Introduction to Software Engineering,Principles of Microeconomics,0.000000232,0.386271024,168
Introduction to Software Engineering,Programming Language Structures,9.61E-11,0.386130724,262
Calculus and Analytic Geometry I,Data Communications and Computer Networks,3.6E-09,0.384658361,220
Object Oriented Analysis and Design,Oral Communication for Professionals,5.44E-09,0.383818049,216
Leadership and Management,Programming in COBOL,0.000000471,0.383539124,162
Leadership and Management,Statistical Methods with Applications,0.00000101,0.383311191,153
College Writing II,Programming in C++,2.34E-16,0.382469817,428
Introduction to Software Engineering,Music Appreciation,5.77E-08,0.382114341,189
Introduction to Software Engineering,Software Quality,5.42E-08,0.381893762,190
Database Design and Implementation,Oral Communication for Professionals,9.93E-10,0.38141603,240
General Physics I,Intermediate Software Engineering,0.00000275,0.379309297,144
Leadership and Management,Principles of Microeconomics,2.12E-10,0.378794144,263
Calculus and Analytic Geometry I,Leadership and Management,8.6E-11,0.377781838,276
College Writing II,Object-Oriented Programming and Data Structures I,2.75E-14,0.377564972,379
Introduction to Engineering Projects,Object-Oriented Programming and Data Structures II,2.03E-08,0.376799288,208
College Writing I,Fitness Assessment and Management,1.07E-14,0.376230014,394
College Writing II,Oral Communication for Professionals,1.13E-13,0.376089012,364
Calculus and Analytic Geometry I,Computer Architecture/Operating Systems,2.38E-08,0.375925029,207
Programming in C++,Windows Programming,0.00000105,0.375865398,159
Object Oriented Analysis and Design,World Civilization II,0.000000139,0.375468997,185
Programming Language Structures,Software Maintenance and Reengineering,0.000000761,0.374842879,164
College Writing I,Music Appreciation,5.85E-09,0.374282545,227
Data Communications and Computer Networks,World Civilization II,8.43E-09,0.373729451,223
College Writing II,Music Appreciation,1.97E-10,0.373511961,272
Leadership and Management,Software Quality,0.00000049,0.371367463,173
Financial Accounting,Leadership and Management,0.000000636,0.370963422,170
Data Communications and Computer Networks,Introduction to Engineering Projects,3.88E-08,0.37057833,207
General Psychology,World Civilization II,0.000000983,0.370257055,165
Object-Oriented Programming and Data Structures I,World Civilization II,2.05E-10,0.370008495,277
Computer Architecture/Operating Systems,Engineering Success Skills,5.71E-09,0.369967893,233
General Psychology,Leadership and Management,7.41E-08,0.369268717,200
College Writing II,Introduction to Marketing,0.00000281,0.368340845,153
College Writing II,Intermediate Software Engineering,0.000000495,0.367255402,177
Computer Architecture/Operating Systems,Principles of Macroeconomics,0.000000861,0.366882101,170
Introduction to Engineering Projects,Leadership and Management,4.33E-09,0.366115702,242
Engineering Success Skills,Music Appreciation,5.46E-08,0.365120465,209
Data Communications and Computer Networks,Planet Earth,0.00000294,0.364270511,156
Object Oriented Analysis and Design,Programming in C++,4.15E-09,0.363715558,246
Calculus and Analytic Geometry I,Engineering Success Skills,3.63E-09,0.362920508,249
College Writing I,Object Oriented Analysis and Design,0.000000446,0.362864975,183
Object-Oriented Programming and Data Structures II,Oral Communication for Professionals,6.45E-09,0.362268508,242
Intermediate Software Engineering,Oral Communication for Professionals,0.00000293,0.362148883,158
Engineering Success Skills,Oral Communication for Professionals,8.37E-10,0.361804119,271
Principles of Microeconomics,Programming in C++,4.22E-09,0.361482178,249
Planet Earth,Programming in C++,0.00000022,0.360804368,195
College Writing II,World Civilization II,6.42E-11,0.360574438,309
Database Design and Implementation,Programming in VB.NET,0.00000131,0.360188037,171
Engineering Success Skills,Object-Oriented Programming and Data Structures I,4.06E-11,0.359734135,317
Fitness Assessment and Management,Planet Earth,0.000000056,0.358430538,217
Engineering Success Skills,Introduction to Software Engineering,3.04E-09,0.357254358,260
College Writing II,Database Design and Implementation,7.53E-10,0.356595279,281
Calculus and Analytic Geometry II,Leadership and Management,0.000000475,0.355680647,190
Engineering Success Skills,Introduction to Engineering Projects,1.2E-09,0.354379789,278
Financial Accounting,Global Business,0.00000281,0.354370313,166
Music Appreciation,Programming in C++,2.63E-09,0.353505027,268
Data Communications and Computer Networks,Leadership and Management,1.95E-11,0.353372648,340
Calculus and Analytic Geometry II,Introduction to Engineering Projects,0.00000133,0.352191481,179
Fitness Assessment and Management,Introduction to Software Engineering,1.59E-10,0.350307717,315
Calculus and Analytic Geometry III,College Writing II,0.00000159,0.348845297,180
Calculus and Analytic Geometry II,College Writing II,0.000000875,0.348734306,189
Music Appreciation,Principles of Macroeconomics,0.00000295,0.348702254,171
Computer Architecture/Operating Systems,Oral Communication for Professionals,2.87E-08,0.348696539,240
Engineering Success Skills,Programming Language Structures,0.000000369,0.348623597,202
Programming Language Structures,Software Quality,0.00000209,0.347888505,177
Data Communications and Computer Networks,Engineering Success Skills,1.69E-08,0.347330989,250
College Writing I,Introduction to Software Engineering,0.000000162,0.346537199,217
Leadership and Management,Programming Language Structures,1.72E-08,0.345867502,252
Database Design and Implementation,Leadership and Management,4.14E-10,0.344268852,312
Principles of Macroeconomics,World Civilization II,0.000000614,0.343957271,200
Introduction to Engineering Projects,Programming in C++,0.000000028,0.342950821,249
Leadership and Management,World Civilization II,6.81E-10,0.342301423,308
Calculus and Analytic Geometry III,Engineering Success Skills,0.00000262,0.341069319,181
Engineering Success Skills,Principles of Macroeconomics,0.000000194,0.340043999,223
College Writing I,Data Communications and Computer Networks,0.00000014,0.339404266,229
Calculus and Analytic Geometry I,Introduction to Engineering Projects,0.00000141,0.339056497,193
Fitness Assessment and Management,Principles of Macroeconomics,2.24E-09,0.337048915,299
Introduction to Engineering Projects,Object Oriented Analysis and Design,0.00000147,0.336896228,195
Discrete Mathematics,Introduction to Engineering Projects,0.000000529,0.334866829,214
Object-Oriented Programming and Data Structures II,World Civilization II,0.000000868,0.334838576,206
Computer Architecture/Operating Systems,Introduction to Engineering Projects,0.0000013,0.334460061,200
Electrical Engineering Projects and Tools,Fitness Assessment and Management,0.00000109,0.334321589,203
Leadership and Management,Oral Communication for Professionals,2.27E-10,0.332865205,345
Electrical Engineering Projects and Tools,Leadership and Management,0.00000213,0.332786696,194
College Writing I,College Writing II,2.61E-11,0.332458897,382
College Writing II,Discrete Mathematics,3.73E-08,0.325458551,273
Discrete Mathematics,Engineering Success Skills,0.000000188,0.32357687,248
Electrical Engineering Projects and Tools,Object-Oriented Programming and Data Structures I,0.00000247,0.322139759,205
Data Communications and Computer Networks,Oral Communication for Professionals,0.000000105,0.321897268,261
Music Appreciation,Object-Oriented Programming and Data Structures I,0.000000215,0.321491683,249
Oral Communication for Professionals,Programming in C++,1.35E-09,0.321142075,340
Calculus and Analytic Geometry II,Fitness Assessment and Management,0.000002,0.31976781,212
Discrete Mathematics,Oral Communication for Professionals,0.000000529,0.31829065,238
Object-Oriented Programming and Data Structures I,Oral Communication for Professionals,9.54E-09,0.31771072,312
Calculus and Analytic Geometry I,Oral Communication for Professionals,0.00000121,0.317651148,224
Calculus and Analytic Geometry I,College Writing II,7.16E-08,0.316734563,277
Fitness Assessment and Management,Programming in C++,5.63E-12,0.31421392,459
Database Design and Implementation,Engineering Success Skills,0.00000209,0.313579351,220
Music Appreciation,Oral Communication for Professionals,0.00000268,0.311072316,219
College Writing II,Computer Architecture/Operating Systems,0.000000158,0.310317513,274
Fitness Assessment and Management,Object-Oriented Programming and Data Structures II,4.16E-08,0.309084397,302
College Writing II,Engineering Success Skills,7.36E-09,0.308426214,337
Programming in C++,World Civilization II,0.000000184,0.29370058,304
College Writing I,Object-Oriented Programming and Data Structures I,0.000000251,0.289193079,307
Fitness Assessment and Management,Object-Oriented Programming and Data Structures I,1.44E-08,0.276034121,408
College Writing II,Data Communications and Computer Networks,0.00000128,0.27356486,304
College Writing II,Fitness Assessment and Management,1.98E-08,0.258817762,457
Fitness Assessment and Management,Oral Communication for Professionals,0.000000434,0.258422943,372
